gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM
0042100172,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.434,0.566,0.309,0.055,0.6,0.145,0.091,0.109,0.255,0.235,0.765,0.818,0.182,0.564,0.436
0042100172,1610612762,Utah,Jazz,UTA,jazz,240:00,0.646,0.354,0.519,0.038,0.317,0.029,0.163,0.038,0.481,0.37,0.63,0.818,0.182,0.5,0.5
0042100172,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.434,0.566,0.309,0.055,0.6,0.145,0.091,0.109,0.255,0.235,0.765,0.818,0.182,0.564,0.436
0042100172,1610612762,Utah,Jazz,UTA,jazz,240:00,0.646,0.354,0.519,0.038,0.317,0.029,0.163,0.038,0.481,0.37,0.63,0.818,0.182,0.5,0.5
0042100173,1610612762,Utah,Jazz,UTA,jazz,240:00,0.594,0.406,0.508,0.034,0.229,0.076,0.263,0.051,0.475,0.5,0.5,0.556,0.444,0.513,0.487
0042100173,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.494,0.506,0.365,0.032,0.429,0.024,0.206,0.103,0.333,0.304,0.696,0.944,0.056,0.585,0.415
0042100173,1610612762,Utah,Jazz,UTA,jazz,240:00,0.594,0.406,0.508,0.034,0.229,0.076,0.263,0.051,0.475,0.5,0.5,0.556,0.444,0.513,0.487
0042100173,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.494,0.506,0.365,0.032,0.429,0.024,0.206,0.103,0.333,0.304,0.696,0.944,0.056,0.585,0.415
0042100174,1610612762,Utah,Jazz,UTA,jazz,240:00,0.557,0.443,0.44,0.06,0.3,0.03,0.26,0.11,0.38,0.409,0.591,0.8,0.2,0.531,0.469
0042100174,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.429,0.571,0.364,0.061,0.455,0.061,0.182,0.061,0.303,0.222,0.778,0.733,0.267,0.455,0.545
